r_kpc,rho_total,rho_UV,rho_MID,rho_IR,M3D_total_Msun,M3D_UV_Msun,M3D_MID_Msun,M3D_IR_Msun,V_circ_km_s
0.05,44955199.55034584,-104948778.83575486,142840826.92421404,7063151.461886659,0.0,0.0,0.0,0.0,0.0
0.3002503128911138,89161416.35328075,-52427281.195694864,134528296.48284593,7060401.066129684,12815298.668257054,-7844084.7097784085,19630810.58691246,1028572.791123003,13.548861679633344
0.5505006257822278,125671245.42959765,-8512528.82999845,127130044.93733527,7053729.32226082,85337226.80022278,-19331911.362406448,99278599.33274493,5390538.829884283,25.820849811930135
0.8007509386733417,125517008.54552737,-2029245.4381559184,120503095.54340956,7043158.440273733,271767611.46791303,-25434096.896117505,281349054.8155501,15852653.548480442,38.20588796671259
1.0510012515644556,120868884.68165863,-692645.3129304212,114532806.51314138,7028723.481447674,608245121.496008,-28683012.222292632,601766722.9445196,35161410.773781076,49.89050246514002
1.301251564455569,115840767.36318864,-295887.83598638605,109126183.13039413,7010472.068780906,1126592694.110577,-30673808.023385443,1091232450.0967822,66034052.03718053,61.02151843936399
1.551501877346683,111048846.67961581,-146616.04003016648,104206998.72294034,6988463.99670564,1855323123.7659154,-32016519.603600636,1776189826.9650867,111149816.4044295,71.715627594323
1.801752190237797,106594284.38909613,-80664.6909863714,99712178.33406903,6962770.746013467,2819736209.6032114,-32983197.42542262,2679577907.035771,173141499.99286315,82.04212273995404
2.052002503128911,102474593.59978312,-47960.9167789567,95589079.60530041,6933474.911261666,4042299446.5116334,-33712481.68564,3821424538.5235453,254587389.67372823,92.04611762781968
2.3022528160200246,98663817.70786865,-30273.325772304834,91793421.48454185,6900669.549099097,5543040486.388914,-34282323.157238826,5219319179.646454,358003629.899698,101.76014010858611
2.5525031289111384,95132107.2563696,-20037.769989502267,88287687.56943728,6864457.456921825,7339890610.961618,-34739900.320931,6888793435.9995,485837075.2830479,111.2094849896625
2.8027534418022526,91851047.44582787,-13784.810534237386,85039881.86433572,6824950.392026396,9448973361.076597,-35115440.38972684,8843630126.842749,640458674.6235744,120.41484815910941
3.0530037546933664,88795026.20204821,-9791.461939825225,82022549.42202534,6782268.241962695,11884844628.075605,-35429206.86460499,11096116410.238274,824157424.7019348,129.3937389551759
3.30325406758448,85941391.53028762,-7144.96201107519,79211998.33520307,6736538.157095627,14660692327.241932,-35695293.75060062,13657252696.519478,1039134924.4730517,138.1613053944461
3.5535043804755944,83270234.87306288,-5335.165562742858,76587676.38215657,6687893.656469066,17788503050.533295,-35923808.347743556,16536926306.406376,1287500552.4746602,146.73085597647386
3.803754693366708,80764077.54489656,-4063.7836075811933,74131667.6105675,6636473.717936654,21279201876.075417,-36122188.32173382,19744056781.934822,1571267282.4623268,155.11421313678963
4.054005006257822,76040830.92426932,-3149.540787101393,69461558.60185903,6582421.863197384,25081609889.85756,-36296028.85305931,23225557774.070953,1892348144.6396646,163.1232033521697
4.304255319148936,64560184.37898861,-2478.5348791534943,58036777.665998176,6525885.247869586,28927324927.80125,-36449620.105901465,26711221215.40331,2252553332.503841,170.01424135044203
4.554505632040049,55451223.63180942,-1977.079959566082,48986186.94569081,6467013.766078176,32616629961.24607,-36586306.873125985,29999628319.72987,2653587948.389326,175.5007993527524
4.804755944931164,48128116.0795529,-1596.2666904042921,41723753.16799992,6405959.178243378,36172265800.38818,-36708735.46488845,33111924161.486004,3097050374.3670635,179.94192726428122
5.055006257822277,42170372.25268078,-1302.8823637245969,35828800.8651732,6342874.269871305,39613636936.14669,-36819027.04545618,36066024713.86932,3584431249.322818,183.58689936455613
5.305256570713391,37270878.20823796,-1073.9087346137744,30994040.06878617,6277912.048186402,42957436983.42816,-36918901.77881825,38877242857.347984,4117113027.85899,186.61483374261945
5.555506883604505,33201786.856020674,-893.0976155781173,26991454.97119678,6211224.98243947,46218129946.89562,-37009769.337674454,41558769624.05291,4696370092.180376,189.1579144040608
5.805757196495619,29791649.89309638,-748.7878866410492,23649434.38828389,6142964.292699134,49408325680.7733,-37092795.95123279,44122049092.36492,5323369384.359599,191.31578816520732
6.056007509386733,26909788.78518941,-632.4834233536955,20837141.977699786,6073279.290912974,52539076520.85617,-37168954.79444774,46577073952.313156,5999171523.337461,193.1648905329637
6.306257822277847,24455425.45871717,-537.9083298389191,18453646.5900186,6002316.777028412,55620114379.64431,-37239064.356389254,48932621075.31382,6724732368.6868725,194.76470392969117
6.5565081351689605,22350002.096638393,-460.3679293972871,16420241.972556487,5930220.492011303,58660042310.79664,-37303818.00606555,51196441137.270966,7500904991.531733,196.16208144252784
6.806758448060075,20531674.810720146,-396.30941342228977,14674940.49142621,5857130.628707356,61666490853.83997,-37363807.025415674,53375412648.837875,8328442012.027504,197.39430810888663
7.057008760951189,18951312.734298456,-343.01517864725287,13168472.348807266,5783183.400669838,64646246846.00373,-37419538.73400105,55475668122.30558,9207998262.432144,198.49131418509103
7.307259073842302,17569554.885087427,-298.38578405279065,11861342.60253578,5708510.668335699,67605360498.19529,-37471450.88401124,57502698214.10824,10140133734.971054,199.47730457552044
7.557509386733416,16354620.300616141,-260.7843490071344,10721641.463688381,5633239.621276769,70549235153.364,-37519923.19143334,59461438302.1867,11125316774.36872,200.3719776330922
7.80775969962453,15280661.313207654,-228.92366082361946,9723397.722182084,5557492.5146863945,73482703127.61261,-37565286.64685462,61356340938.23844,12163927476.021017,201.1914497060348
8.058010012515645,14326512.99885109,-201.78335464180853,8845328.324420659,5481386.457785075,76410090274.71005,-37607831.08925156,63191436853.54666,13256261252.252642,201.94896530836633
8.308260325406758,13474734.726360291,-178.54852254999653,8069880.023442862,5405033.251439979,79335271341.92416,-37647811.40947777,64970386622.45323,14402532530.8804,202.65544878526697
8.558510638297873,12710869.24726179,-158.56376452094202,7382488.539037391,5328539.271988921,82261717749.29242,-37685452.664263785,66696524649.631485,15602878552.325195,203.3199372162228
8.808760951188987,12022865.328772742,-141.29848358719474,6771001.229221501,5252005.398034828,85192539089.98425,-37720954.31763836,68372896810.578026,16857363233.723862,203.94992325673692
9.0590112640801,11400624.424388157,-126.32044938796462,6225223.768011786,5175526.976825759,88130519390.67278,-37754493.77868536,70002292813.61728,18165981070.834183,204.55162893048106
9.309261576971217,10835642.202363074,-113.27549808419448,5736561.651109752,5099193.826751406,91078148969.19653,-37786229.36818285,71587274147.61394,19528661050.950787,205.13022594728062
9.559511889862328,10320723.185050216,-101.87182605604383,5297734.784413894,5023090.272462378,94037652568.57227,-37816302.818881735,73130198318.87799,20945270552.513172,205.69001422470953
9.809762202753442,9849752.153887864,-91.86775083378086,4902548.81249265,4947295.209146048,97011014321.47116,-37844841.39277982,74633239953.31433,22415619209.549625,206.23456746107396
10.060012515644557,9417509.936452292,-83.06210929046645,4545710.805996867,4871882.192564716,100000000000.00003,-37871959.68214247,76098409238.15497,23939462721.527203,206.76685252869643
10.31026282853567,9019524.122353895,-75.28667652900056,4222679.857459469,4796919.551570955,103006176926.31717,-37897761.148047246,77527568095.92337,25516506591.541847,207.28932791283415
10.560513141426783,8651947.439942144,-68.4001438159739,3929545.3201314686,4722470.5199544905,106030931855.90117,-37922339.44002612,78922444417.28387,27146409778.05732,207.80402526398788
10.810763454317897,8311458.167842491,-62.28330732401232,3662927.0665118075,4648593.384638007,109075487093.85303,-37945779.532302395,80284644625.81563,28828788247.569706,208.31261725518667
11.061013767209012,7995178.198295123,-56.83520312795992,3419893.3860781016,4575341.647420149,112140915062.87927,-37968158.70568979,81615664803.9641,30563218417.620865,208.81647426690282
11.311264080100123,7700605.316643713,-51.96998611756242,3197893.0889728284,4502764.197657002,115228151507.58195,-37989547.39907199,82916900573.48293,32349240481.498104,209.31671190738234
11.56151439299124,7425556.988191076,-47.614397080168814,2994699.1091141663,4430905.493473989,118338007491.82042,-38010009.950236514,84189655894.03807,34186361607.73258,209.814230976857
11.811764705882354,7168123.504835253,-43.705697335553594,2808361.4612285714,4359805.749304017,121471180322.9852,-38029605.242482476,85435150919.08789,36074059009.13979,210.30975117216195
12.062015018773469,6926628.779787576,-40.18997696453033,2637167.842013317,4289501.127751224,124628263518.08316,-38048387.27069509,86654529027.71921,38011782877.63463,210.8038395829317
12.31226533166458,6699597.419176072,-37.020763031728876,2479610.5059589962,4220023.933980107,127809755910.80206,-38066405.63835149,87848863134.0442,39998959182.39619,211.29693483632025
12.562515644555695,6485726.966784277,-34.157869842697465,2334358.3136298256,4151402.8110242942,131016069985.60999,-38083705.99509435,89019161361.44048,42034992330.16457,211.78936759248595
12.812765957446809,6283864.429343717,-31.5664453587614,2200233.0611929693,4083662.934596106,134247539513.95235,-38100330.42300329,90166372156.85538,44119267687.51995,212.28137796912907
13.063016270337922,6092986.35736751,-29.216177279598142,2076189.367389114,4016826.2061556755,137504426558.36182,-38116317.7784472,91291388910.20311,46251153965.93713,212.77313037350598
13.313266583229035,5912181.890125072,-27.08062963333585,1961297.5275890199,3950911.443165685,140786927902.46957,-38131703.99536499,92395054135.23851,48430005471.22641,213.2647261394466
13.56351689612015,5740638.280386211,-25.136686466544468,1854728.851458652,3885934.565614026,144095180958.25836,-38146522.35495872,93478163260.93626,50655164219.67704,213.75621430104354
13.813767209011264,5577628.50067652,-23.364083762956557,1755743.0867289563,3821908.7780313273,147429269196.21683,-38160803.72606056,94541468076.12549,52925961923.81739,214.24760078079623
14.06401752190238,5422500.602366597,-21.745014313792627,1663677.6010175266,3758844.7463633846,150789227139.1798,-38174576.77982764,95585679864.75359,55241721851.20606,214.73885622570296
14.314267834793492,5274668.55536932,-20.263793122650398,1577938.0499826672,3696750.769179776,154175044956.43112,-38187868.18190809,96611472264.53549,57601760560.07756,215.22992268822654
14.564518147684606,5133604.342199427,-18.906573213692216,1497990.305962769,3635632.942809872,157586672690.99976,-38200702.764788985,97619483877.76926,60005389515.99532,215.7207193187389
14.81476846057572,4998831.11774219,-17.66110354620223,1423353.4587495062,3575495.32009623,161024024149.898,-38213103.68267037,98610320659.66293,62451916593.91779,216.2111472108096
15.065018773466834,4869917.276924655,-16.516522216497297,1353593.7309033659,3516340.0625435053,164486980484.26743,-38225092.55089821,99584558106.5457,64940647470.27268,216.70109351960835
15.315269086357947,4746471.29788308,-15.463179323495254,1288319.1753433177,3458167.5857190867,167975393483.9454,-38236689.571722895,100542743263.75381,67470886909.76337,217.1904349560008
15.56551939924906,4628137.24920598,-14.49248484458373,1227175.0438605635,3400976.697830261,171489088608.79608,-38247913.6479229,101485396570.73549,70041939951.70857,217.67904074402497
15.815769712140176,4514590.86722702,-13.596777658956059,1169839.7325422238,3344764.7314624544,175027867777.22278,-38258782.48563804,102413013558.95935,72653113000.74913,218.16677511686314
16.06602002503129,4405536.1238056505,-12.769212501836527,1116021.2245034706,3289527.6685146815,178591511930.55753,-38269312.68758926,103326066416.49721,75303714826.7479,218.65349941577395
16.316270337922404,4300702.217095808,-12.003662163097669,1065453.9623455962,3235260.258412375,182179783390.4814,-38279519.83771753,104225005431.6511,77993057478.66803,219.13907384740517
16.566520650813516,4199840.927892383,-11.294632679968323,1017896.0928100587,3181956.129715005,185792428025.2411,-38289418.578149326,105110260326.67473,80720457117.1445,219.62335894720155
