model,r_scale,V0,chi2,dof,chi2_dof,success,nfev,galaxy,rank
GenFT,0.8838666436069207,71.09719424559296,0.4468738136398702,7,0.06383911623426718,True,128,CamB_rotmod,3.0
NFW,24326.49781467652,2753.692770458999,20.079124624529722,7,2.8684463749328173,True,664,CamB_rotmod,4.0
Burkert,5.806152813292027,91.24444113064094,0.1614100360079583,7,0.02305857657256547,True,114,CamB_rotmod,2.0
PseudoIso,2.869503831001107,61.80384110224371,0.12216024913361893,7,0.01745146416194556,True,113,CamB_rotmod,1.0
Einasto_alpha0.18,18.95689630725812,15.36860631741168,36.16259309810381,7,5.166084728300545,True,153,CamB_rotmod,5.0
GenFT,0.16883765126365022,37.11813021950638,0.058965727014049375,2,0.029482863507024688,True,114,D512-2_rotmod,1.0
NFW,7.1373550955191805,102.02835991330986,1.0242763871330824,2,0.5121381935665412,True,123,D512-2_rotmod,4.0
Burkert,1.4326369951769942,58.013166321258566,0.17243444275932118,2,0.08621722137966059,True,89,D512-2_rotmod,2.0
PseudoIso,0.8390089597685852,46.41765853833144,0.4163607291214721,2,0.20818036456073605,True,125,D512-2_rotmod,3.0
Einasto_alpha0.18,16.415475228005775,39.53016294914674,1.2343306930853015,2,0.6171653465426508,True,147,D512-2_rotmod,5.0
GenFT,0.19625944322041788,25.601053910242314,0.14381999020908134,4,0.035954997552270336,True,134,D564-8_rotmod,3.0
NFW,12875.847473804188,2380.7382332546977,2.86607806646076,4,0.71651951661519,True,1122,D564-8_rotmod,4.0
Burkert,1.6990494143283776,40.51249660476479,0.09580497503060956,4,0.02395124375765239,True,108,D564-8_rotmod,1.0
PseudoIso,1.0480178087006276,33.29958866932435,0.12825025998441456,4,0.03206256499610364,True,109,D564-8_rotmod,2.0
Einasto_alpha0.18,20.30206242802774,23.982641088195678,7.954881826192378,4,1.9887204565480945,True,146,D564-8_rotmod,5.0
GenFT,0.44365225749415005,60.332466869538905,3.255404434421276,14,0.23252888817294828,True,144,D631-7_rotmod,1.0
NFW,37642.54919560172,6466.688274008915,33.763778736307955,14,2.411698481164854,True,933,D631-7_rotmod,4.0
Burkert,3.819816300963775,95.19121031134266,3.8065377175158024,14,0.27189555125112874,True,105,D631-7_rotmod,2.0
PseudoIso,2.3295995998122025,78.00199683825858,3.894617561923406,14,0.2781869687088147,True,86,D631-7_rotmod,3.0
Einasto_alpha0.18,53.31627107877104,57.061813318385404,101.4719868711622,14,7.247999062225872,True,165,D631-7_rotmod,5.0
GenFT,0.2420623385456407,57.406662370882216,4.786701414693035,12,0.3988917845577529,True,115,DDO064_rotmod,1.0
NFW,18419.83150314809,5774.529442671892,10.890181790386025,12,0.9075151491988355,True,680,DDO064_rotmod,4.0
Burkert,2.106870249080106,91.0777412824806,4.8187302919418995,12,0.401560857661825,True,105,DDO064_rotmod,2.0
PseudoIso,1.3667209883150142,77.22475897852755,5.024114117835523,12,0.41867617648629357,True,104,DDO064_rotmod,3.0
Einasto_alpha0.18,14.644000974666831,45.9194188815564,23.612185509794873,12,1.9676821258162394,True,143,DDO064_rotmod,5.0
GenFT,0.2800898227240987,48.250801994749835,10.618953562918723,10,1.0618953562918723,True,131,DDO154_rotmod,1.0
NFW,12.237258290788063,138.17301165305915,140.25417477153425,10,14.025417477153425,True,126,DDO154_rotmod,4.0
Burkert,2.3959777184115034,76.0694796529848,20.796615369009196,10,2.0796615369009195,True,103,DDO154_rotmod,2.0
PseudoIso,1.3868473587900783,61.13827137284079,40.986073919252384,10,4.098607391925238,True,101,DDO154_rotmod,3.0
Einasto_alpha0.18,29.48148510731653,52.24341728499266,183.5238922492017,10,18.35238922492017,True,128,DDO154_rotmod,5.0
GenFT,0.6303738203131812,66.43027933320238,28.749505952767528,29,0.991362274233363,True,120,DDO161_rotmod,2.0
NFW,20.48272753567148,168.82511285291127,39.62724067907404,29,1.3664565751404842,True,123,DDO161_rotmod,4.0
Burkert,5.087428534549383,102.66214653601213,30.547010516663743,29,1.0533451902297843,True,103,DDO161_rotmod,3.0
PseudoIso,2.6097134475612007,79.03922907135603,27.459283846999522,29,0.9468718567930869,True,101,DDO161_rotmod,1.0
Einasto_alpha0.18,42.59453120923784,68.71319568144924,62.269622077667414,29,2.1472283475057727,True,113,DDO161_rotmod,5.0
GenFT,0.28059839825484983,60.140263000015665,21.99089329766,8,2.7488616622075,True,119,DDO168_rotmod,1.0
NFW,27862.15136081913,7022.84537441053,51.946341409555316,8,6.4932926761944145,True,1223,DDO168_rotmod,4.0
Burkert,2.491412977996373,96.31424592720892,22.479864836448115,8,2.8099831045560144,True,98,DDO168_rotmod,2.0
PseudoIso,1.585379680106094,80.62826603921042,24.875253945113187,8,3.1094067431391483,True,104,DDO168_rotmod,3.0
Einasto_alpha0.18,32.64253177474322,55.23403650947917,94.09602937972683,8,11.762003672465854,True,148,DDO168_rotmod,5.0
